THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,HARGA_PER_M3,Latitude,Longitude
202401,RODAH,377,2107950,8,5591.379310344828,-7.279833,112.796322
202401,RODAH BUNTU,198,730700,3,3690.40404040404,-7.279833,112.796322
202401,RODAH GEBANG,49,67400,1,1375.5102040816328,-7.279833,112.796322
202401,RODAH GEBANG PUTIH,80,149000,4,1862.5,-7.279833,112.796322
202401,RODAH SEKOLAHAN,1165,3597000,42,3087.5536480686696,-7.279833,112.796322
202401,TEGAL MULYOREJO,1136,4853100,29,4272.095070422535,-7.2750916,112.7936262
202402,ARIF RACHMAN HAKIM,6999,87229500,5,12463.13759108444,-7.288531,112.798155
202402,ASEM PAYUNG,10312,28056800,285,2720.791311093871,-7.2862181,112.7857511
202402,BUMI MARINA EMAS,914,5160400,33,5645.951859956236,-7.2911441,112.8020775
202402,BUMI MARINA EMAS BARAT,792,5651900,18,7136.237373737374,-7.2930141,112.8035565
202402,BUMI MARINA EMAS TIMUR,125,747000,7,5976.0,-7.2911441,112.8020775
202402,DESA ASEM PAYUNG,245,1539000,1,6281.632653061224,-7.24917,112.75083
202402,GALAXY BUMI PERMAI,56,310000,2,5535.714285714285,-7.2974136,112.7859957
202402,GEBANG,402,4951000,1,12315.92039800995,-7.2886889,112.7846587
202402,GEBANG KIDUL,5898,22917500,148,3885.6391997287215,-7.2826702,112.7873836
202402,GEBANG KIDUL MAWAR,12,53000,1,4416.666666666667,-7.279833,112.796322
202402,GEBANG KIDUL SEPUHAN,499,1765100,18,3537.2745490981965,-7.279833,112.796322
202402,GEBANG LOR,7502,27236000,175,3630.49853372434,-7.2810659,112.7878501
202402,GEBANG LOR KANOMAN,841,2117250,25,2517.538644470868,-7.279833,112.796322
202402,GEBANG LOR LENGKONG,71,64600,2,909.8591549295775,-7.279833,112.796322
202402,GEBANG PUTIH,3545,16036900,58,4523.808180535966,-7.2819247,112.787992
202402,GEBANG PUTIH RODAH,905,3390700,24,3746.6298342541436,-7.279833,112.796322
202402,GEBANG RODAH MAWAR,162,738350,3,4557.716049382716,-7.279833,112.796322
202402,GEBANG RODAH SEKOLAHAN,86,561000,1,6523.2558139534885,-7.279833,112.796322
202402,GEBANG WETAN,4337,16001900,138,3689.62416416878,-7.2811196,112.7896864
202402,GEBANG WETAN RODAH SEKOLAHAN,34,164000,2,4823.529411764706,-7.279833,112.796322
202402,ITS.HIDRODINAMIKA/KEJ.PT,9,26000,1,2888.8888888888887,-7.281111,112.794611
202402,ITS.ILMU PASTI ALAM,816,3460800,15,4241.176470588235,-7.281111,112.794611
202402,ITS.KEPUTIH,1218,11417300,13,9373.809523809523,-7.2826954,112.7956782
202402,ITS.TEHNIK ARSITEKTUR,1355,6977700,30,5149.594095940959,-7.281111,112.794611
202402,ITS.TEHNIK FISIKA,646,2973700,16,4603.250773993808,-7.281111,112.794611
202402,ITS.TEHNIK GEODESI,448,2000500,12,4465.401785714285,-7.281111,112.794611
202402,ITS.TEHNIK HIDRODINAMIKA,3625,15283300,105,4216.08275862069,-7.281111,112.794611
202402,ITS.TEHNIK HIDRONIKA,15,69500,1,4633.333333333333,-7.281111,112.794611
202402,ITS.TEHNIK HUMANIORA,522,2069400,16,3964.367816091954,-7.281111,112.794611
202402,ITS.TEHNIK INDUSTRI,610,2710100,13,4442.786885245901,-7.281111,112.794611
202402,ITS.TEHNIK KELAUTAN,388,1499400,14,3864.4329896907216,-7.281111,112.794611
202402,ITS.TEHNIK KOMPUTER,7094,29147700,204,4108.782069354384,-7.281111,112.794611
202402,ITS.TEHNIK LINGKUNGAN,676,2933300,17,4339.201183431953,-7.281111,112.794611
202402,ITS.TEHNIK PEMUKIMAN,456,2289000,13,5019.736842105263,-7.281111,112.794611
202402,ITS.TEHNIK PENYEHATAN,532,2356700,14,4429.887218045113,-7.281111,112.794611
202402,ITS.TEHNIK PRANCANGAN,321,1269300,6,3954.2056074766356,-7.281111,112.794611
202402,ITS.TEHNIK SIPIL,3338,15771400,82,4724.805272618334,-7.281111,112.794611
202402,ITS.TEKNIK INDUSTRI,50,309000,1,6180.0,-7.2902398,112.7932773
202402,KEJAWAN,45,59000,1,1311.111111111111,-7.2774223,112.8057704
202402,KEJAWAN GEBANG,12374,37221350,278,3008.028931630839,-7.2852358,112.8006448
202402,KEJAWAN PUTIH TAMBAK,616,1842450,20,2990.9902597402597,-7.2717595,112.8160468
202402,KEPUTIH,102,1058200,3,10374.509803921568,-7.2896546,112.7805282
202402,KEPUTIH TEGAL,12,105600,1,8800.0,-7.2913962,112.8033252
202402,KEPUTIH UTARA,34,146400,1,4305.882352941177,-7.287331,112.7990127
202402,KERTAJAYA INDAH,1029,11063500,9,10751.700680272108,-7.2792852,112.7798359
